1217,16373763320,16373788880.0
2367,1940344200,1940127564.8
1767,22161777792,22242774715.791824
2567,11486043820,11486136312.940763
3367,14553020584,14552996168
4568,14020792251,14668767747.0
3768,22136405860,22136405860
1967,31038868595,31038844115
16,22032142776,22031216546.61606
817,8250469928,8250445416
2767,240677518584,240797490299.2
3567,1765807790,2248740735.700154
4367,24059347423,34099521303.884113
5167,1270417779,1349755341.5999994
2968,13997821190,13997821638.668852
1017,18942178532,18942727227.486343
1567,19933225500,19933201068.0
